name,category,stars,forks,contributors,external_contributors,issues_total,prs_merged,releases,commits_30d,packagist_downloads,ghcr_downloads,dependents_repos,clones_14d,views_14d,reach
deutschepost-module-autocomplete-m2,commerce,4,0,4,3,2,2,16,0,234031,0,0,38,36,13
dhl-module-carrier-paket,commerce,4,3,7,5,14,1,31,0,257992,0,6,44,18,48
dhl-module-shipping-core,commerce,4,0,5,3,9,1,11,0,321443,0,0,10,3,19
enterprise-readiness-skill,skill,4,0,3,0,2,90,45,31,0,0,0,905,26,92
german-technical-writing-skill,skill,4,1,4,1,2,27,11,26,0,0,0,700,34,34
jira-to-openproject,tool,4,4,4,0,10,251,0,25,0,0,0,366,117,269
matrix-skill,skill,4,0,6,1,22,94,55,117,0,0,0,2682,41,119
t3x-nr-llm,typo3-extension,4,2,6,2,108,637,52,740,15211,0,4,29275,98,763
t3x-nr-passkeys-be,typo3-extension,4,0,3,1,4,108,23,94,6807,0,3,3481,22,121
t3x-sync,typo3-extension,4,0,7,2,6,33,7,12,30,0,0,599,3,45
typo3-testing-skill,skill,4,0,2,0,2,121,52,63,0,0,0,1454,29,123
ansible-role-monitoring-server,ansible,3,1,4,1,1,75,0,8,0,0,0,49,14,81
ansible_role_docker_containers,ansible,3,0,5,2,1,27,16,12,0,0,0,112,0,34
deutschepost-module-addressfactory-m2,commerce,3,2,7,6,5,4,14,0,233554,0,0,22,16,31
dhl-module-carrier-paket-returns,commerce,3,0,5,3,7,1,14,0,271605,0,0,10,3,17
dhl-sdk-api-parcel-de,commerce,3,1,1,1,6,1,5,0,94979,0,0,40,14,12
dhl-sdk-api-unified-tracking,commerce,3,0,7,3,1,3,7,0,343767,0,3,9,17,19
github-release-skill,skill,3,0,2,0,1,81,19,70,0,0,0,1352,4,82
jujutsu-workflow-skill,skill,3,0,3,0,1,23,5,22,0,0,0,517,50,24
markdown-to-pdf-skill,skill,3,0,3,0,1,15,7,11,0,0,0,265,62,16
orocommerce-skill,skill,3,1,5,1,2,17,8,11,0,0,0,195,9,24
retro-skill,skill,3,0,1,0,2,68,19,82,0,0,0,1015,212,70
t3x-nr-extension-scanner-cli,typo3-extension,3,1,2,0,1,29,0,29,0,0,0,1590,0,32
t3x-nr-vault,typo3-extension,3,0,4,0,20,277,32,358,70900,0,0,7590,15,297
ansible-role-gitlab-runner,ansible,2,0,5,1,3,14,0,10,0,0,0,27,21,20
automated-assessment-skill,skill,2,0,4,0,4,59,28,26,0,0,0,849,3,63
concourse-ci-skill,skill,2,0,4,0,1,40,22,29,0,0,0,904,12,41
dhl-module-unified-tracking,commerce,2,0,5,3,1,1,7,0,298997,0,0,7,0,11
module-admin-notification-feed,commerce,2,1,2,2,1,1,5,0,157776,0,0,9,2,10
netresearch-branding-skill,skill,2,0,4,0,1,58,35,29,0,0,0,1117,5,59
oro-hide-unavailable-variants,commerce,2,1,4,2,1,4,0,2,3,0,0,62,0,13
postdirekt-autocomplete-monorepo,commerce,2,1,7,3,2,97,2,22,0,0,1,878,5,112
raybeam,go-project,2,1,5,1,2,248,11,35,0,5181,0,488,19,255
sdk-api-universal-messenger,commerce,2,0,3,0,8,24,11,11,2551,0,0,147,0,32
t3x-contexts_geolocation,typo3-extension,2,7,10,4,3,36,5,35,0,0,0,1969,0,65
t3x-nr-image-optimize,typo3-extension,2,1,8,2,11,130,20,69,2409,0,0,1405,4,149
t3x-nr-image-sitemap,typo3-extension,2,0,4,1,3,34,5,32,2490,0,0,1371,2,40
t3x-nr-mcp-agent,typo3-extension,2,1,5,1,3,109,26,152,973,0,0,4141,14,117
typo3-ckeditor5-skill,skill,2,0,2,0,1,32,22,12,0,0,0,844,20,33
typo3-project-upgrade-skill,skill,2,0,2,0,1,20,8,18,0,0,0,1041,41,21
typo3-typoscript-ref-skill,skill,2,0,2,1,0,25,10,18,0,0,0,886,2,28
ansible-collection-mautic,ansible,1,0,2,0,1,2,8,2,0,0,0,16,0,3
ansible-role-monitoring-client,ansible,1,1,3,1,1,6,0,2,0,0,0,20,0,12
ansible_role_client_base,ansible,1,1,4,0,4,128,0,9,0,2510,0,68,29,134
data-tools-skill,skill,1,0,3,0,1,36,16,29,0,0,0,937,15,37
deutschepost-module-addressfactory-sw6,commerce,1,0,5,3,1,11,9,1,0,0,0,34,1,21
deutschepost-module-core,commerce,1,0,5,4,1,1,7,0,236176,0,4,11,0,22
deutschepost-module-internetmarke,commerce,1,0,3,3,2,1,22,0,231148,0,0,12,3,12
deutschepost-sdk-api-prodws,commerce,1,0,4,2,1,1,6,0,229793,0,3,6,2,14
deutschepost-sdk-autocomplete-authentication,commerce,1,0,4,2,1,1,2,0,265689,0,0,11,1,8
dhl-module-carrier-update,commerce,1,2,2,2,3,1,7,0,2563,0,0,6,1,14
dhl-sdk-api-parcel-de-returns,commerce,1,0,3,2,1,1,3,0,72537,0,1,21,1,10
dhl-sdk-api-parcel-management,commerce,1,3,6,3,3,1,8,0,358820,0,9,9,1,37
dhl-sdk-api-unified-location-finder,commerce,1,1,4,2,3,1,5,0,326519,0,4,16,4,20
magento2-patches,commerce,1,0,3,0,1,2,0,1,0,0,0,28,1,3
module-interactive-batch-processing,commerce,1,0,3,3,1,1,7,0,189888,0,0,9,0,11
module-shipping-core,commerce,1,2,3,2,8,1,24,0,242982,0,18,8,2,55
module-shipping-inventory,commerce,1,2,4,4,3,1,8,0,645,0,0,11,4,20
module-shipping-ui,commerce,1,2,5,4,9,2,20,0,0,0,14,9,4,55
node-red-contrib-magento-eqp,commerce,1,1,7,2,2,395,25,24,0,0,0,215,3,405
peer-qa-review-skill,skill,1,0,2,1,4,39,12,20,0,0,0,233,6,46
sdk-api-central-station,commerce,1,0,4,0,2,12,9,3,808,0,0,180,3,14
sdk-eu-vat,commerce,1,0,3,0,2,17,7,37,7,0,0,223,4,19
t3x-contexts_wurfl,typo3-extension,1,2,6,1,2,39,2,35,0,0,0,1246,1,48
t3x-nr-browser-ai,typo3-extension,1,0,1,0,3,44,7,159,0,0,0,6133,51,47
t3x-nr-bug-reporter,typo3-extension,1,0,2,0,1,6,0,17,0,0,0,408,2,7
t3x-nr-passkeys-fe,typo3-extension,1,0,3,0,4,46,14,72,1087,0,0,2544,0,50
t3x-nr-repurpose,typo3-extension,1,0,3,0,6,71,11,80,968,0,0,1638,5,77
t3x-nr-saml-auth,typo3-extension,1,0,5,2,31,51,10,33,21,0,0,1819,3,88
t3x-nr-temporal-cache,typo3-extension,1,0,3,0,2,63,1,37,0,0,0,2178,4,65
t3x-nr-textdb,typo3-extension,1,0,8,2,34,57,17,57,1680,0,1,921,0,99
t3x-nr-xliff-streaming,typo3-extension,1,0,3,0,0,22,0,27,0,0,0,1304,1,22
t3x-scheduler,typo3-extension,1,0,3,0,1,41,6,29,2901,0,0,1269,6,42
terraform-provider-ad,go-project,1,0,22,19,0,17,3,2,0,0,0,26,0,74
timalytics,commerce,1,2,8,5,1,23,3,1,0,0,0,36,0,43
typo3-a11y-skill,skill,1,0,3,1,2,15,5,6,0,0,0,326,8,20
typo3-core-contributions-skill,skill,1,0,2,0,1,30,29,28,0,0,0,1308,4,31
typo3-site-conformance-skill,skill,1,0,1,0,1,16,5,17,0,0,0,254,2,17
typo3-upgrade-effort-model-skill,skill,1,0,4,1,1,22,9,4,0,0,0,288,8,26
typo3-vite-skill,skill,1,0,3,1,1,18,7,11,0,0,0,295,1,22
deutschepost-sdk-api-internetmarke,commerce,0,0,2,1,0,0,1,0,10769,0,0,15,5,3
t3x-nr-wellknown,typo3-extension,0,0,1,0,0,10,0,39,14,0,0,1289,4,10
